i 的
o 一
a 是
h 在
u 人
k 有
x 不
r 国
s 这
n 了
m 中
l 和
c 为
y 们
p 他
q 我
j 个
d 以
g 大
f 上
v 地
b 要
w 会
2r 对
2s 时
2n 到
2m 于
2l 来
2c 生
2i 能
2o 年
2a 可
2h 而
2u 行
2k 出
2x 发
2d 用
2g 作
2f 种
2v 就
2b 法
2w 所
2y 成
2p 学
2q 自
2j 经
3ir 方
3is 之
3in 理
3or 定
3os 也
3on 部
3ar 说
3as 分
3an 家
3hr 同
3hs 主
3hn 其
3im 后
3il 动
3ic 过
3om 多
3ol 现
3oc 进
3am 得
3al 本
3ac 如
3hm 业
3hl 民
3hc 者
3ur 下
3us 事
3un 实
3kr 工
3ks 当
3kn 性
3xr 因
3xs 些
3xn 机
3um 与
3ul 它
3uc 力
3km 产
3kl 日
3kc 关
3xm 政
3xl 公
3xc 第
3ri 使
3ro 然
3ra 物
3rh 面
3si 由
3so 体
3sa 制
3sh 那
3ni 或
3no 但
3na 全
3nh 都
3ru 应
3rk 从
3rx 子
3su 前
3sk 意
3sx 利
3nu 开
3nk 军
3nx 并
3mi 重
3mo 合
3ma 此
3mh 样
3li 美
3lo 十
3la 将
3lh 加
3ci 无
3co 外
3ca 化
3ch 新
3mu 最
3mk 高
3mx 里
3lu 明
3lk 长
3lx 起
3cu 等
3ck 相
3cx 还
3ii 代
3io 战
3ia 度
3ih 间
3oi 文
3oo 你
3oa 道
3oh 正
3ai 内
3ao 表
3aa 三
3ah 果
3hi 天
3ho 特
3ha 情
3hh 心
3iu 问
3ik 着
3ix 没
3ou 及
3ok 月
3ox 系
3au 资
3ak 被
3ax 只
3hu 提
3hk 论
3hx 已
3ui 通
3uo 二
3ua 斯
3uh 义
3ki 务
3ko 任
3ka 建
3kh 题
3xi 员
3xo 教
3xa 好
3xh 各
3uu 世
3uk 西
3ux 点
3ku 量
3kk 数
3kx 向
3xu 市
3xk 么
3xx 小
3rr 去
3rs 统
3rn 条
3sr 计
3ss 信
3sn 解
3nr 两
3ns 期
3nn 区
3rm 把
3rl 立
3rc 想
3sm 展
3sl 看
3sc 基
3nm 认
3nl 社
3nc 科
3mr 位
3ms 知
3mn 原
3lr 比
3ls 入
3ln 常
3cr 很
3cs 结
3cn 海
3mm 管
3ml 变
3mc 治
3lm 报
3ll 次
3lc 权
3cm 反
3cl 保
3cc 电
4et 目
4er 设
4es 规
4en 受
4it 件
4ir 活
4is 更
4in 平
4ot 必
4or 形
4os 场
4on 程
4at 式
4ar 尔
4as 总
4an 品
4ht 水
4hr 处
4hs 据
4hn 东
4em 界
4el 司
4ec 决
4im 名
4il 类
4ic 济
4om 己
4ol 则
4oc 术
4am 达
4al 德
4ac 导
4hm 安
4hl 接
4hc 强
4ut 指
4ur 少
4us 组
4un 克
4kt 金
4kr 又
4ks 见
4kn 何
4xt 别
4xr 共
4xs 求
4xn 至
4um 取
4ul 先
4uc 观
4km 给
4kl 门
4kc 四
4xm 院
4xl 改
4xc 身
4te 空
4ti 神
4to 格
4ta 确
4th 运
4re 联
4ri 队
